outage,hour,kind,n_over,worst_branch,worst_kind,over_MW,worst_pct,wind_avail_MW,eir_cleared,eir_mw,eir_nodes,eir_new_overloads,eir_new_MW,eir_worsened,eir_resid_MW,eir_worst_new_pct,eir_max_load_pct,blind_cleared,blind_mw,blind_nodes,blind_new_overloads,blind_new_MW,blind_worsened,blind_resid_MW,blind_worst_new_pct,blind_max_load_pct,ovl_cleared,ovl_mw,ovl_nodes,ovl_new_overloads,ovl_new_MW,ovl_worsened,ovl_resid_MW,ovl_worst_new_pct,ovl_max_load_pct,solo_cleared,solo_mw,solo_nodes,solo_new_overloads,solo_new_MW,solo_worsened,solo_resid_MW,solo_worst_new_pct,solo_max_load_pct,veto_cleared,veto_mw,veto_nodes,veto_new_overloads,veto_new_MW,veto_worsened,veto_resid_MW,veto_worst_new_pct,veto_max_load_pct,lp_cleared,lp_mw,lp_nodes,lp_new_overloads,lp_new_MW,lp_worsened,lp_resid_MW,lp_worst_new_pct,lp_max_load_pct,lp_feasible
1031-1181-1,130,Line,1,3581-89516-1,Line,1.441,101.17,5592.5,1,3.383,13,0,0.0,0,0.0,0.0,100.1,1,2.558,1,0,0.0,0,0.0,0.0,100.1,1,2.558,1,0,0.0,0,0.0,0.0,100.1,1,2.558,1,0,0.0,0,0.0,0.0,100.1,1,2.558,1,0,0.0,0,0.0,0.0,100.1,1,2.558,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,137,Line,1,3581-89516-1,Line,0.335,100.27,5053.5,1,0.718,11,0,0.0,0,0.0,0.0,100.1,1,0.513,1,0,0.0,0,0.0,0.0,100.1,1,0.513,1,0,0.0,0,0.0,0.0,100.1,1,0.513,1,0,0.0,0,0.0,0.0,100.1,1,0.513,1,0,0.0,0,0.0,0.0,100.1,1,0.513,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,145,Line,1,3581-89516-1,Line,1.693,101.38,4124.9,1,5.83,26,0,0.0,0,0.0,0.0,100.1,1,3.046,1,0,0.0,0,0.0,0.0,100.1,1,3.046,1,0,0.0,0,0.0,0.0,100.1,1,3.046,1,0,0.0,0,0.0,0.0,100.1,1,3.046,1,0,0.0,0,0.0,0.0,100.1,1,3.046,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,152,Line,1,3581-89516-1,Line,1.968,101.6,4161.2,1,6.252,25,0,0.0,0,0.0,0.0,100.1,1,3.581,1,0,0.0,0,0.0,0.0,100.1,1,3.581,1,0,0.0,0,0.0,0.0,100.1,1,3.581,1,0,0.0,0,0.0,0.0,100.1,1,3.581,1,0,0.0,0,0.0,0.0,100.1,1,3.581,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,159,Line,1,3581-89516-1,Line,1.348,101.1,5313.0,1,4.072,25,0,0.0,0,0.0,0.0,100.1,1,2.378,1,0,0.0,0,0.0,0.0,100.1,1,2.378,1,0,0.0,0,0.0,0.0,100.1,1,2.378,1,0,0.0,0,0.0,0.0,100.1,1,2.378,1,0,0.0,0,0.0,0.0,100.1,1,2.378,1,0,0.0,0,0.0,0.0,100.1,1
1031-1181-1,167,Line,1,3581-89516-1,Line,1.022,100.83,3161.9,1,2.765,26,0,0.0,0,0.0,0.0,100.1,1,1.744,1,0,0.0,0,0.0,0.0,100.1,1,1.744,1,0,0.0,0,0.0,0.0,100.1,1,1.744,1,0,0.0,0,0.0,0.0,100.1,1,1.744,1,0,0.0,0,0.0,0.0,100.1,1,1.744,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,0,Line,1,3581-89516-1,Line,0.198,100.16,5299.5,1,0.184,13,0,0.0,0,0.0,0.0,100.1,1,0.145,1,0,0.0,0,0.0,0.0,100.1,1,0.145,1,0,0.0,0,0.0,0.0,100.1,1,0.145,1,0,0.0,0,0.0,0.0,100.1,1,0.145,1,0,0.0,0,0.0,0.0,100.1,1,0.145,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,21,Line,1,3581-89516-1,Line,0.203,100.17,4735.3,1,0.218,7,0,0.0,0,0.0,0.0,100.1,1,0.193,1,0,0.0,0,0.0,0.0,100.1,1,0.193,1,0,0.0,0,0.0,0.0,100.1,1,0.193,1,0,0.0,0,0.0,0.0,100.1,1,0.193,1,0,0.0,0,0.0,0.0,100.1,1,0.193,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,50,Line,1,3581-89516-1,Line,0.267,100.22,5312.4,1,0.686,26,0,0.0,0,0.0,0.0,100.1,1,0.279,1,0,0.0,0,0.0,0.0,100.1,1,0.279,1,0,0.0,0,0.0,0.0,100.1,1,0.279,1,0,0.0,0,0.0,0.0,100.1,1,0.279,1,0,0.0,0,0.0,0.0,100.1,1,0.279,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,58,Line,1,3581-89516-1,Line,1.906,101.55,4583.8,1,8.322,26,0,0.0,0,0.0,0.0,100.1,1,3.461,1,0,0.0,0,0.0,0.0,100.1,1,3.461,1,0,0.0,0,0.0,0.0,100.1,1,3.461,1,0,0.0,0,0.0,0.0,100.1,1,3.461,1,0,0.0,0,0.0,0.0,100.1,1,3.461,2,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,65,Line,1,3581-89516-1,Line,1.226,101.0,5388.6,1,6.989,22,0,0.0,0,0.0,0.0,100.1,1,2.277,1,0,0.0,0,0.0,0.0,100.1,1,2.277,1,0,0.0,0,0.0,0.0,100.1,1,2.277,1,0,0.0,0,0.0,0.0,100.1,1,2.277,1,0,0.0,0,0.0,0.0,100.1,1,2.277,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,72,Line,1,3581-89516-1,Line,1.18,100.96,5745.9,1,6.113,19,0,0.0,0,0.0,0.0,100.1,1,2.55,1,0,0.0,0,0.0,0.0,100.1,1,2.55,1,0,0.0,0,0.0,0.0,100.1,1,2.55,1,0,0.0,0,0.0,0.0,100.1,1,2.55,1,0,0.0,0,0.0,0.0,100.1,1,2.55,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,79,Line,1,3581-89516-1,Line,0.707,100.57,2728.8,1,2.414,26,0,0.0,0,0.0,0.0,100.1,1,1.133,1,0,0.0,0,0.0,0.0,100.1,1,1.133,1,0,0.0,0,0.0,0.0,100.1,1,1.133,1,0,0.0,0,0.0,0.0,100.1,1,1.133,1,0,0.0,0,0.0,0.0,100.1,1,1.133,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,94,Line,1,3581-89516-1,Line,0.576,100.47,5470.0,1,1.806,26,0,0.0,0,0.0,0.0,100.1,1,0.879,1,0,0.0,0,0.0,0.0,100.1,1,0.879,1,0,0.0,0,0.0,0.0,100.1,1,0.879,1,0,0.0,0,0.0,0.0,100.1,1,0.879,1,0,0.0,0,0.0,0.0,100.1,1,0.879,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,108,Line,1,3581-89516-1,Line,0.536,100.44,7006.9,1,1.848,20,0,0.0,0,0.0,0.0,100.1,1,0.801,1,0,0.0,0,0.0,0.0,100.1,1,0.801,1,0,0.0,0,0.0,0.0,100.1,1,0.801,1,0,0.0,0,0.0,0.0,100.1,1,0.801,1,0,0.0,0,0.0,0.0,100.1,1,0.801,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,123,Line,1,3581-89516-1,Line,0.966,100.79,5593.8,1,2.181,13,0,0.0,0,0.0,0.0,100.1,1,1.636,1,0,0.0,0,0.0,0.0,100.1,1,1.636,1,0,0.0,0,0.0,0.0,100.1,1,1.636,1,0,0.0,0,0.0,0.0,100.1,1,1.636,1,0,0.0,0,0.0,0.0,100.1,1,1.636,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,130,Line,1,3581-89516-1,Line,1.441,101.17,5592.5,1,3.383,13,0,0.0,0,0.0,0.0,100.1,1,2.558,1,0,0.0,0,0.0,0.0,100.1,1,2.558,1,0,0.0,0,0.0,0.0,100.1,1,2.558,1,0,0.0,0,0.0,0.0,100.1,1,2.558,1,0,0.0,0,0.0,0.0,100.1,1,2.558,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,137,Line,1,3581-89516-1,Line,0.335,100.27,5053.5,1,0.718,11,0,0.0,0,0.0,0.0,100.1,1,0.513,1,0,0.0,0,0.0,0.0,100.1,1,0.513,1,0,0.0,0,0.0,0.0,100.1,1,0.513,1,0,0.0,0,0.0,0.0,100.1,1,0.513,1,0,0.0,0,0.0,0.0,100.1,1,0.513,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,145,Line,1,3581-89516-1,Line,1.693,101.38,4124.9,1,5.83,26,0,0.0,0,0.0,0.0,100.1,1,3.046,1,0,0.0,0,0.0,0.0,100.1,1,3.046,1,0,0.0,0,0.0,0.0,100.1,1,3.046,1,0,0.0,0,0.0,0.0,100.1,1,3.046,1,0,0.0,0,0.0,0.0,100.1,1,3.046,1,0,0.0,0,0.0,0.0,100.1,1
1031-4221-1,152,Line,1,3581-89516-1,Line,1.968,101.6,4161.2,1,6.252,25,0,0.0,0,0.0,0.0,100.1,1,3.581,1,0,0.0,0,0.0,0.0,100.1,1,3.581,1,0,0.0,0,0.0,0.0,100.1,1,3.581,1,0,0.0,0,0.0,0.0,100.1,1,3.581,1,0,0.0,0,0.0,0.0,100.1,1,3.581,1,0,0.0,0,0.0,0.0,100.1,1
