scenario,outage,hour,kind,n_over,worst_branch,worst_kind,over_MW,worst_pct,wind_avail_MW,eir_cleared,eir_mw,eir_nodes,eir_new_overloads,eir_new_MW,eir_worsened,eir_resid_MW,eir_worst_new_pct,eir_max_load_pct,blind_cleared,blind_mw,blind_nodes,blind_new_overloads,blind_new_MW,blind_worsened,blind_resid_MW,blind_worst_new_pct,blind_max_load_pct,sum_cleared,sum_mw,sum_nodes,sum_new_overloads,sum_new_MW,sum_worsened,sum_resid_MW,sum_worst_new_pct,sum_max_load_pct,need_cleared,need_mw,need_nodes,need_new_overloads,need_new_MW,need_worsened,need_resid_MW,need_worst_new_pct,need_max_load_pct,mmx_cleared,mmx_mw,mmx_nodes,mmx_new_overloads,mmx_new_MW,mmx_worsened,mmx_resid_MW,mmx_worst_new_pct,mmx_max_load_pct,bvet_cleared,bvet_mw,bvet_nodes,bvet_new_overloads,bvet_new_MW,bvet_worsened,bvet_resid_MW,bvet_worst_new_pct,bvet_max_load_pct,nvet_cleared,nvet_mw,nvet_nodes,nvet_new_overloads,nvet_new_MW,nvet_worsened,nvet_resid_MW,nvet_worst_new_pct,nvet_max_load_pct,svet_cleared,svet_mw,svet_nodes,svet_new_overloads,svet_new_MW,svet_worsened,svet_resid_MW,svet_worst_new_pct,svet_max_load_pct,oldstep_cleared,oldstep_mw,oldstep_nodes,oldstep_new_overloads,oldstep_new_MW,oldstep_worsened,oldstep_resid_MW,oldstep_worst_new_pct,oldstep_max_load_pct,stale_cleared,stale_mw,stale_nodes,stale_new_overloads,stale_new_MW,stale_worsened,stale_resid_MW,stale_worst_new_pct,stale_max_load_pct,roster_cleared,roster_mw,roster_nodes,roster_new_overloads,roster_new_MW,roster_worsened,roster_resid_MW,roster_worst_new_pct,roster_max_load_pct,gper_cleared,gper_mw,gper_nodes,gper_new_overloads,gper_new_MW,gper_worsened,gper_resid_MW,gper_worst_new_pct,gper_max_load_pct,gnet_cleared,gnet_mw,gnet_nodes,gnet_new_overloads,gnet_new_MW,gnet_worsened,gnet_resid_MW,gnet_worst_new_pct,gnet_max_load_pct,gperv_cleared,gperv_mw,gperv_nodes,gperv_new_overloads,gperv_new_MW,gperv_worsened,gperv_resid_MW,gperv_worst_new_pct,gperv_max_load_pct,gnetv_cleared,gnetv_mw,gnetv_nodes,gnetv_new_overloads,gnetv_new_MW,gnetv_worsened,gnetv_resid_MW,gnetv_worst_new_pct,gnetv_max_load_pct,lp_cleared,lp_mw,lp_nodes,lp_new_overloads,lp_new_MW,lp_worsened,lp_resid_MW,lp_worst_new_pct,lp_max_load_pct,lp_feasible
WP2033,1701-5041-1,13,Line,1,5041-17010-2,Line,17.949,108.55,492.7,1,60.967,10,0,0.0,0,0.0,0.0,100.1,1,60.967,4,0,0.0,0,0.0,0.0,100.1,1,60.967,4,0,0.0,0,0.0,0.0,100.1,1,60.967,4,0,0.0,0,0.0,0.0,100.1,1,60.967,4,0,0.0,0,0.0,0.0,100.1,1,60.967,4,0,0.0,0,0.0,0.0,100.1,1,60.967,4,0,0.0,0,0.0,0.0,100.1,1,60.967,4,0,0.0,0,0.0,0.0,100.1,1,60.967,4,0,0.0,0,0.0,0.0,100.1,1,62.21,4,0,0.0,0,0.0,0.0,99.93,1,60.967,4,0,0.0,0,0.0,0.0,100.1,1,60.967,10,0,0.0,0,0.0,0.0,100.1,1,60.967,10,0,0.0,0,0.0,0.0,100.1,1,60.967,10,0,0.0,0,0.0,0.0,100.1,1,60.967,10,0,0.0,0,0.0,0.0,100.1,1,60.967,4,0,0.0,0,0.0,0.0,100.1,1
WP2033,1701-5041-1,17,Line,1,5041-17010-2,Line,46.977,122.37,539.0,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,169.069,5,0,0.0,0,0.0,0.0,98.94,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,6,0,0.0,0,0.0,0.0,100.1,1
WP2033,1701-5041-1,18,Line,1,5041-17010-2,Line,46.977,122.37,642.6,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,172.377,4,0,0.0,0,0.0,0.0,98.49,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1
WP2033,1701-5041-1,19,Line,1,5041-17010-2,Line,46.977,122.37,642.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,171.453,4,0,0.0,0,0.0,0.0,98.61,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1
WP2033,1701-5041-1,20,Line,1,5041-17010-2,Line,46.977,122.37,656.3,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,172.55,4,0,0.0,0,0.0,0.0,98.46,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1
WP2033,1701-5041-1,21,Line,1,5041-17010-2,Line,46.977,122.37,681.0,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,166.769,4,0,0.0,0,0.0,0.0,99.26,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1
WP2033,1701-5041-1,22,Line,1,5041-17010-2,Line,41.588,119.8,686.3,1,142.209,9,0,0.0,0,0.0,0.0,100.1,1,142.209,4,0,0.0,0,0.0,0.0,100.1,1,142.209,4,0,0.0,0,0.0,0.0,100.1,1,142.209,4,0,0.0,0,0.0,0.0,100.1,1,142.209,4,0,0.0,0,0.0,0.0,100.1,1,142.209,4,0,0.0,0,0.0,0.0,100.1,1,142.209,4,0,0.0,0,0.0,0.0,100.1,1,142.209,4,0,0.0,0,0.0,0.0,100.1,1,142.209,4,0,0.0,0,0.0,0.0,100.1,1,142.767,4,0,0.0,0,0.0,0.0,100.02,1,142.209,4,0,0.0,0,0.0,0.0,100.1,1,142.209,9,0,0.0,0,0.0,0.0,100.1,1,142.209,9,0,0.0,0,0.0,0.0,100.1,1,142.209,9,0,0.0,0,0.0,0.0,100.1,1,142.209,9,0,0.0,0,0.0,0.0,100.1,1,142.209,5,0,0.0,0,0.0,0.0,100.1,1
WP2033,1701-5041-1,23,Line,1,5041-17010-2,Line,46.977,122.37,680.9,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,168.289,4,0,0.0,0,0.0,0.0,99.05,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,9,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1
WP2033,1701-5041-1,24,Line,1,5041-17010-2,Line,46.977,122.37,675.0,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,168.369,4,0,0.0,0,0.0,0.0,99.04,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1
WP2033,1701-5041-1,25,Line,1,5041-17010-2,Line,46.977,122.37,567.0,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,166.057,5,0,0.0,0,0.0,0.0,99.36,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,6,0,0.0,0,0.0,0.0,100.1,1
WP2033,1701-5041-1,26,Line,1,5041-17010-2,Line,46.977,122.37,614.9,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,161.322,5,0,0.0,0,0.0,0.0,100.02,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,6,0,0.0,0,0.0,0.0,100.1,1
WP2033,1701-5041-1,27,Line,1,5041-17010-2,Line,46.977,122.37,676.3,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,172.445,4,0,0.0,0,0.0,0.0,98.48,1,160.73,4,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,6,0,0.0,0,0.0,0.0,100.1,1
WP2033,1701-5041-1,28,Line,1,5041-17010-2,Line,46.977,122.37,594.4,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,166.086,5,0,0.0,0,0.0,0.0,99.36,1,160.73,5,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,10,0,0.0,0,0.0,0.0,100.1,1,160.73,6,0,0.0,0,0.0,0.0,100.1,1
